All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-14_19:06:15	0	BAD DATA	False	6.9896	65.5932	52.16483	55.23069	90	90	0	89.99999	88.39904	145.2371	93.49158	89.96329	0.6634753	813.7875	153.5528	148.8643	0	181.6047	87.50021	91.50519	150.7605	0	0	0	1	0	0	0	0	
	2	2018-11-14_19:07:01	0	ZEROING DATA	True	45.18313	99.77208	93.33688	96.86922	1.611493E-43	1.611493E-43	0	1.611493E-43	0	0	0	100	0	1988.102	530.9886	475.4274	0	473.3187	150.4061	253.9218	104.0395	145	3	69	1	9	19	8	38	
	3	2018-11-14_19:07:23	0	Presets_dockPreset_3	True	22.5695	92.31126	83.83546	87.72465	110	113.2449	0	135	84.61496	116.4327	134.3472	58.97945	0.7707109	2265.48	246.8567	221.7727	0	244.4639	241.2307	588.1505	723.006	16	0	0	1	0	8	2	6	
	4	2018-11-14_19:07:34	0	ZEROING DATA	True	10.41538	99.93491	98.86463	98.81487	1.611493E-43	1.611493E-43	0	1.611493E-43	0	0	0	100	0	2052.604	248.3122	276.6298	0	354.6467	172.6777	679.8825	320.4543	46	1	1	1	17	4	9	14	
	5	2018-11-14_19:07:47	0	Ltd Random	True	12.65211	92.3469	98.32095	94.66733	30	30	0	29.99999	5.008956E-06	5.008956E-06	5.008956E-06	96.3411	0.1	693.6862	146.2856	251.311	0	214.7796	6.199219	0	75.11086	35	2	4	1	10	5	9	8	
	6	2018-11-14_19:07:55	0	ZEROING DATA	True	8.657825	99.60928	99.20807	99.13684	2.753902E-40	1.611493E-43	0	2.753902E-40	0	0	0	100	6.123674E-43	465.5853	180.9904	105.4945	0	132.6794	3.09086	26.57608	16.75402	38	5	5	1	15	3	5	7	
	7	2018-11-14_19:08:06	0	Presets_dockPreset_2	True	10.30144	98.39542	97.4688	97.79854	90	90	0	89.99999	73.17303	63.04706	64.32361	67.02388	0.5228263	3777.136	203.0182	255.7652	0	339.4575	241.9568	1774.758	962.1809	31	5	1	1	12	7	0	6	
	8	2018-11-14_19:08:16	0	ZEROING DATA	True	10.11614	99.47903	99.40839	99.04979	1.611493E-43	1.611493E-43	0	1.611493E-43	0	0	0	100	0	1471.061	248.6558	229.0401	0	324.0618	186.7925	183.0902	299.4209	31	7	1	1	5	10	5	3	
	9	2018-11-14_19:08:35	0	Ltd Random	True	18.46364	94.18652	96.98898	94.60923	90	90	0	89.99999	30	30	30	82.53609	0.4	819.6109	114.4029	131.5163	0	161.2892	53.3164	121.1387	237.9474	35	4	2	1	2	4	13	10	
	10	2018-11-14_19:08:43	0	ZEROING DATA	True	8.604204	99.78684	99.78677	99.4333	9.103115E-40	1.611493E-43	0	9.103115E-40	0	0	0	100	2.023475E-42	1013.252	213.1626	268.1899	0	329.7818	48.75325	57.71553	95.6492	16	1	1	1	1	3	5	5	
	11	2018-11-14_19:09:19	0	Ltd Random	True	35.42367	93.29701	99.26223	95.8396	30	69.15533	0	89.99999	5.008957E-06	90	5.008957E-06	73.01012	0.3101726	2159.201	542.241	372.5124	0	784.409	77.58533	235.8372	146.6163	61	10	4	1	0	25	9	15	
	12	2018-11-14_19:09:31	0	ZEROING DATA	True	12.13801	99.34877	99.62688	98.84729	0	0	0	0	0	0	0	100	0	988.4827	161.7927	231.8533	0	329.3421	49.56873	177.5019	38.42416	29	5	1	1	3	10	3	9	
	13	2018-11-14_19:09:50	0	Presets_dockPreset_4	False	18.20101	82.72243	60.79091	71.68657	110	38.34866	0	0	40.20432	150.7403	50.43076	67.9741	0.4330267	2975.726	314.6078	337.5822	0	421.7433	95.49923	220.6655	1585.629	52	0	14	1	25	14	0	0	
	14	2018-11-14_19:10:12	0	ZEROING DATA	True	22.24076	99.62067	92.66914	94.21633	1.611493E-43	1.611493E-43	0	0	0	0	0	100	0	2025.797	266.3558	432.9958	0	343.6773	210.279	332.3406	440.1494	80	3	15	1	23	18	12	10	
	15	2018-11-14_19:10:39	0	Ltd Random	True	27.39926	93.5523	95.08496	93.66726	90	129.6219	0	89.99999	30	90	90	58.51649	0.5773577	2245.136	423.853	298.6662	0	269.128	96.65123	121.374	1035.464	44	0	2	1	4	18	8	12	
